,ranking,gameName,score,developer,genre
0,25,마이토킹톰 2,96,Outfit7 Limited,['Casual']
1,20,미세미세 - 미세먼지  WHO기준  알람  위젯  날씨,96,MiseMise Corporation,['Weather']
2,34,쓰레기 살해,94,Real fist,['Simulation']
3,10,나의최애캐 (언니돌  #unniedoll),93,0.1%,['Casual']
4,17,나의최애캐 (오빠돌  #oppadoll),93,0.1%,['Casual']
5,35,Death City : Zombie Invasion,92,Charm Tech.,['Adventure']
6,27,토스 : 금융이 쉬워진다,90,Viva Republica,['Finance']
7,7,신비아파트 고스트헌터,90,주식회사 3F FACTORY,['Adventure']
8,4,TikTok 틱톡,90,Bytemod Pte.Ltd.,['Video Players & Editors']
9,19,위메프 - 특가대표 (특가   쇼핑   쇼핑앱   쿠폰   배송),90,위메프,['Shopping']
